value range,counter,percentage,nth,HistogramType
[0 ~ 10000),850,0.085,0,GT
[10000 ~ 20000),1531,0.1531,0,GT
[20000 ~ 30000),2113,0.2113,0,GT
[30000 ~ 40000),2471,0.2471,0,GT
[40000 ~ 50000),2133,0.2133,0,GT
[50000 ~ 60000),782,0.0782,0,GT
[60000 ~ 70000),113,0.0113,0,GT
[70000 ~ 80000),7,0.0007,0,GT
[80000 ~ 90000),0,0,0,GT
[90000 ~ 100000],0,0,0,GT
[0 ~ 10000),550,0.055,9,GT
[10000 ~ 20000),1029,0.1029,9,GT
[20000 ~ 30000),1517,0.1517,9,GT
[30000 ~ 40000),1988,0.1988,9,GT
[40000 ~ 50000),2327,0.2327,9,GT
[50000 ~ 60000),1880,0.188,9,GT
[60000 ~ 70000),623,0.0623,9,GT
[70000 ~ 80000),81,0.0081,9,GT
[80000 ~ 90000),5,0.0005,9,GT
[90000 ~ 100000],0,0,9,GT
[0 ~ 10000),1000000,1,0,CENTROID
[10000 ~ 20000),0,0,0,CENTROID
[20000 ~ 30000),0,0,0,CENTROID
[30000 ~ 40000),0,0,0,CENTROID
[40000 ~ 50000),0,0,0,CENTROID
[50000 ~ 60000),0,0,0,CENTROID
[60000 ~ 70000),0,0,0,CENTROID
[70000 ~ 80000),0,0,0,CENTROID
[80000 ~ 90000),0,0,0,CENTROID
[90000 ~ 100000],0,0,0,CENTROID
[0 ~ 10000),296524,0.296524,1,CENTROID
[10000 ~ 20000),681909,0.681909,1,CENTROID
[20000 ~ 30000),21487,0.021487,1,CENTROID
[30000 ~ 40000),69,6.9e-05,1,CENTROID
[40000 ~ 50000),8,8e-06,1,CENTROID
[50000 ~ 60000),2,2e-06,1,CENTROID
[60000 ~ 70000),1,1e-06,1,CENTROID
[70000 ~ 80000),0,0,1,CENTROID
[80000 ~ 90000),0,0,1,CENTROID
[90000 ~ 100000],0,0,1,CENTROID
[0 ~ 10000),233782,0.233782,2,CENTROID
[10000 ~ 20000),707048,0.707048,2,CENTROID
[20000 ~ 30000),58971,0.058971,2,CENTROID
[30000 ~ 40000),177,0.000177,2,CENTROID
[40000 ~ 50000),13,1.3e-05,2,CENTROID
[50000 ~ 60000),5,5e-06,2,CENTROID
[60000 ~ 70000),4,4e-06,2,CENTROID
[70000 ~ 80000),0,0,2,CENTROID
[80000 ~ 90000),0,0,2,CENTROID
[90000 ~ 100000],0,0,2,CENTROID
[0 ~ 10000),205001,0.205001,3,CENTROID
[10000 ~ 20000),688543,0.688543,3,CENTROID
[20000 ~ 30000),106085,0.106085,3,CENTROID
[30000 ~ 40000),337,0.000337,3,CENTROID
[40000 ~ 50000),21,2.1e-05,3,CENTROID
[50000 ~ 60000),8,8e-06,3,CENTROID
[60000 ~ 70000),5,5e-06,3,CENTROID
[70000 ~ 80000),0,0,3,CENTROID
[80000 ~ 90000),0,0,3,CENTROID
[90000 ~ 100000],0,0,3,CENTROID
[0 ~ 10000),186508,0.186508,4,CENTROID
[10000 ~ 20000),656376,0.656376,4,CENTROID
[20000 ~ 30000),156506,0.156506,4,CENTROID
[30000 ~ 40000),537,0.000537,4,CENTROID
[40000 ~ 50000),44,4.4e-05,4,CENTROID
[50000 ~ 60000),21,2.1e-05,4,CENTROID
[60000 ~ 70000),7,7e-06,4,CENTROID
[70000 ~ 80000),1,1e-06,4,CENTROID
[80000 ~ 90000),0,0,4,CENTROID
[90000 ~ 100000],0,0,4,CENTROID
[0 ~ 10000),173096,0.173096,5,CENTROID
[10000 ~ 20000),620286,0.620286,5,CENTROID
[20000 ~ 30000),205728,0.205728,5,CENTROID
[30000 ~ 40000),794,0.000794,5,CENTROID
[40000 ~ 50000),63,6.3e-05,5,CENTROID
[50000 ~ 60000),22,2.2e-05,5,CENTROID
[60000 ~ 70000),10,1e-05,5,CENTROID
[70000 ~ 80000),1,1e-06,5,CENTROID
[80000 ~ 90000),0,0,5,CENTROID
[90000 ~ 100000],0,0,5,CENTROID
[0 ~ 10000),162647,0.162647,6,CENTROID
[10000 ~ 20000),584034,0.584034,6,CENTROID
[20000 ~ 30000),252113,0.252113,6,CENTROID
[30000 ~ 40000),1090,0.00109,6,CENTROID
[40000 ~ 50000),76,7.6e-05,6,CENTROID
[50000 ~ 60000),22,2.2e-05,6,CENTROID
[60000 ~ 70000),17,1.7e-05,6,CENTROID
[70000 ~ 80000),1,1e-06,6,CENTROID
[80000 ~ 90000),0,0,6,CENTROID
[90000 ~ 100000],0,0,6,CENTROID
[0 ~ 10000),154106,0.154106,7,CENTROID
[10000 ~ 20000),549994,0.549994,7,CENTROID
[20000 ~ 30000),294247,0.294247,7,CENTROID
[30000 ~ 40000),1512,0.001512,7,CENTROID
[40000 ~ 50000),96,9.6e-05,7,CENTROID
[50000 ~ 60000),25,2.5e-05,7,CENTROID
[60000 ~ 70000),17,1.7e-05,7,CENTROID
[70000 ~ 80000),3,3e-06,7,CENTROID
[80000 ~ 90000),0,0,7,CENTROID
[90000 ~ 100000],0,0,7,CENTROID
[0 ~ 10000),147128,0.147128,8,CENTROID
[10000 ~ 20000),518609,0.518609,8,CENTROID
[20000 ~ 30000),332027,0.332027,8,CENTROID
[30000 ~ 40000),2081,0.002081,8,CENTROID
[40000 ~ 50000),102,0.000102,8,CENTROID
[50000 ~ 60000),33,3.3e-05,8,CENTROID
[60000 ~ 70000),17,1.7e-05,8,CENTROID
[70000 ~ 80000),3,3e-06,8,CENTROID
[80000 ~ 90000),0,0,8,CENTROID
[90000 ~ 100000],0,0,8,CENTROID
