value range,counter,percentage,nth,HistogramType
[0 ~ 10000),850,0.085,0,GT
[10000 ~ 20000),1531,0.1531,0,GT
[20000 ~ 30000),2113,0.2113,0,GT
[30000 ~ 40000),2471,0.2471,0,GT
[40000 ~ 50000),2133,0.2133,0,GT
[50000 ~ 60000),782,0.0782,0,GT
[60000 ~ 70000),113,0.0113,0,GT
[70000 ~ 80000),7,0.0007,0,GT
[80000 ~ 90000),0,0,0,GT
[90000 ~ 100000],0,0,0,GT
[0 ~ 10000),550,0.055,9,GT
[10000 ~ 20000),1029,0.1029,9,GT
[20000 ~ 30000),1517,0.1517,9,GT
[30000 ~ 40000),1988,0.1988,9,GT
[40000 ~ 50000),2327,0.2327,9,GT
[50000 ~ 60000),1880,0.188,9,GT
[60000 ~ 70000),623,0.0623,9,GT
[70000 ~ 80000),81,0.0081,9,GT
[80000 ~ 90000),5,0.0005,9,GT
[90000 ~ 100000],0,0,9,GT
[0 ~ 10000),698,0.0698,0,CENTROID
[10000 ~ 20000),1356,0.1356,0,CENTROID
[20000 ~ 30000),1985,0.1985,0,CENTROID
[30000 ~ 40000),2492,0.2492,0,CENTROID
[40000 ~ 50000),2115,0.2115,0,CENTROID
[50000 ~ 60000),1022,0.1022,0,CENTROID
[60000 ~ 70000),271,0.0271,0,CENTROID
[70000 ~ 80000),55,0.0055,0,CENTROID
[80000 ~ 90000),5,0.0005,0,CENTROID
[90000 ~ 100000],1,0.0001,0,CENTROID
[0 ~ 10000),602,0.0602,1,CENTROID
[10000 ~ 20000),1191,0.1191,1,CENTROID
[20000 ~ 30000),1770,0.177,1,CENTROID
[30000 ~ 40000),2354,0.2354,1,CENTROID
[40000 ~ 50000),2330,0.233,1,CENTROID
[50000 ~ 60000),1280,0.128,1,CENTROID
[60000 ~ 70000),379,0.0379,1,CENTROID
[70000 ~ 80000),80,0.008,1,CENTROID
[80000 ~ 90000),12,0.0012,1,CENTROID
[90000 ~ 100000],2,0.0002,1,CENTROID
[0 ~ 10000),556,0.0556,2,CENTROID
[10000 ~ 20000),1094,0.1094,2,CENTROID
[20000 ~ 30000),1675,0.1675,2,CENTROID
[30000 ~ 40000),2268,0.2268,2,CENTROID
[40000 ~ 50000),2397,0.2397,2,CENTROID
[50000 ~ 60000),1431,0.1431,2,CENTROID
[60000 ~ 70000),455,0.0455,2,CENTROID
[70000 ~ 80000),105,0.0105,2,CENTROID
[80000 ~ 90000),16,0.0016,2,CENTROID
[90000 ~ 100000],3,0.0003,2,CENTROID
[0 ~ 10000),523,0.0523,3,CENTROID
[10000 ~ 20000),1037,0.1037,3,CENTROID
[20000 ~ 30000),1592,0.1592,3,CENTROID
[30000 ~ 40000),2207,0.2207,3,CENTROID
[40000 ~ 50000),2430,0.243,3,CENTROID
[50000 ~ 60000),1536,0.1536,3,CENTROID
[60000 ~ 70000),523,0.0523,3,CENTROID
[70000 ~ 80000),124,0.0124,3,CENTROID
[80000 ~ 90000),25,0.0025,3,CENTROID
[90000 ~ 100000],3,0.0003,3,CENTROID
[0 ~ 10000),504,0.0504,4,CENTROID
[10000 ~ 20000),993,0.0993,4,CENTROID
[20000 ~ 30000),1527,0.1527,4,CENTROID
[30000 ~ 40000),2158,0.2158,4,CENTROID
[40000 ~ 50000),2420,0.242,4,CENTROID
[50000 ~ 60000),1654,0.1654,4,CENTROID
[60000 ~ 70000),564,0.0564,4,CENTROID
[70000 ~ 80000),146,0.0146,4,CENTROID
[80000 ~ 90000),31,0.0031,4,CENTROID
[90000 ~ 100000],3,0.0003,4,CENTROID
[0 ~ 10000),479,0.0479,5,CENTROID
[10000 ~ 20000),967,0.0967,5,CENTROID
[20000 ~ 30000),1463,0.1463,5,CENTROID
[30000 ~ 40000),2118,0.2118,5,CENTROID
[40000 ~ 50000),2444,0.2444,5,CENTROID
[50000 ~ 60000),1723,0.1723,5,CENTROID
[60000 ~ 70000),605,0.0605,5,CENTROID
[70000 ~ 80000),166,0.0166,5,CENTROID
[80000 ~ 90000),31,0.0031,5,CENTROID
[90000 ~ 100000],4,0.0004,5,CENTROID
[0 ~ 10000),462,0.0462,6,CENTROID
[10000 ~ 20000),948,0.0948,6,CENTROID
[20000 ~ 30000),1411,0.1411,6,CENTROID
[30000 ~ 40000),2104,0.2104,6,CENTROID
[40000 ~ 50000),2418,0.2418,6,CENTROID
[50000 ~ 60000),1780,0.178,6,CENTROID
[60000 ~ 70000),661,0.0661,6,CENTROID
[70000 ~ 80000),179,0.0179,6,CENTROID
[80000 ~ 90000),33,0.0033,6,CENTROID
[90000 ~ 100000],4,0.0004,6,CENTROID
[0 ~ 10000),451,0.0451,7,CENTROID
[10000 ~ 20000),922,0.0922,7,CENTROID
[20000 ~ 30000),1383,0.1383,7,CENTROID
[30000 ~ 40000),2056,0.2056,7,CENTROID
[40000 ~ 50000),2437,0.2437,7,CENTROID
[50000 ~ 60000),1815,0.1815,7,CENTROID
[60000 ~ 70000),699,0.0699,7,CENTROID
[70000 ~ 80000),195,0.0195,7,CENTROID
[80000 ~ 90000),38,0.0038,7,CENTROID
[90000 ~ 100000],4,0.0004,7,CENTROID
[0 ~ 10000),446,0.0446,8,CENTROID
[10000 ~ 20000),896,0.0896,8,CENTROID
[20000 ~ 30000),1361,0.1361,8,CENTROID
[30000 ~ 40000),2021,0.2021,8,CENTROID
[40000 ~ 50000),2431,0.2431,8,CENTROID
[50000 ~ 60000),1836,0.1836,8,CENTROID
[60000 ~ 70000),752,0.0752,8,CENTROID
[70000 ~ 80000),212,0.0212,8,CENTROID
