topk nprobe efSearch Recall%100
1 1 5 771
1 2 10 1297
1 3 15 1679
1 4 20 1970
1 5 25 2261
1 6 30 2473
1 7 35 2679
1 8 40 2853
1 9 45 3027
1 10 50 3179
1 11 55 3324
1 12 60 3465
1 13 65 3598
1 14 70 3701
1 15 75 3807
1 16 80 3897
1 17 85 3998
1 18 90 4077
1 19 95 4164
1 20 100 4243
1 25 125 4590
1 30 150 4878
1 35 175 5128
1 40 200 5325
1 45 225 5537
1 50 250 5711
1 60 300 6013
1 70 350 6247
1 80 400 6447
1 90 450 6631
1 100 500 6787
1 150 750 7329
1 200 1000 7727
1 250 1250 7988
1 300 1500 8172
1 350 1750 8348
1 400 2000 8482
1 450 2250 8605
1 500 2500 8709

5 1 5 2
5 2 10 8
5 3 15 21
5 4 20 36
5 5 25 53
5 6 30 76
5 7 35 97
5 8 40 117
5 9 45 135
5 10 50 156
5 11 55 184
5 12 60 212
5 13 65 242
5 14 70 271
5 15 75 292
5 16 80 315
5 17 85 344
5 18 90 365
5 19 95 395
5 20 100 422
5 25 125 564
5 30 150 691
5 35 175 829
5 40 200 946
5 45 225 1056
5 50 250 1156
5 60 300 1348
5 70 350 1556
5 80 400 1738
5 90 450 1931
5 100 500 2095
5 150 750 2773
5 200 1000 3332
5 250 1250 3786
5 300 1500 4160
5 350 1750 4476
5 400 2000 4774
5 450 2250 5053
5 500 2500 5281

9 8 40 21
9 9 45 23
9 10 50 31
9 12 60 48
9 13 65 56
9 14 70 64
9 15 75 75
9 16 80 85
9 17 85 95
9 18 90 99
9 19 95 108
9 20 100 112
9 25 125 176
9 30 150 235
9 35 175 298
9 40 200 347
9 45 225 400
9 50 250 452
9 60 300 558
9 70 350 683
9 80 400 791
9 90 450 907
9 100 500 1000
9 150 750 1486 
9 200 1000 1916
9 250 1250 2290
9 300 1500 2631
9 350 1750 2904
9 400 2000 3171
9 450 2250 3418
9 500 2500 3658
