head := query_10Centriod
0-th query  distance:=60440
1-th query  distance:=30581.4
2-th query  distance:=35741.4
3-th query  distance:=2837.98
4-th query  distance:=60200
5-th query  distance:=13617.3
6-th query  distance:=9851.15
7-th query  distance:=54249.3
8-th query  distance:=19449.9
9-th query  distance:=37353.9
10-th query  distance:=62096.1
11-th query  distance:=29202.8
12-th query  distance:=66463
13-th query  distance:=41117.5
14-th query  distance:=26575.5
15-th query  distance:=68138.5
16-th query  distance:=36224.4
17-th query  distance:=35891.9
18-th query  distance:=10117.8
19-th query  distance:=37280.8
20-th query  distance:=64100.4
21-th query  distance:=45539.4
22-th query  distance:=33790.4
23-th query  distance:=74958
24-th query  distance:=44832.4
25-th query  distance:=34629.2
26-th query  distance:=39866
27-th query  distance:=36769.2
28-th query  distance:=48262.2
29-th query  distance:=52074.8
30-th query  distance:=44202.2
31-th query  distance:=46063.3
32-th query  distance:=45391.6
33-th query  distance:=47871.2
34-th query  distance:=43233
35-th query  distance:=61640.7
36-th query  distance:=52691.3
37-th query  distance:=36036.3
38-th query  distance:=33802.8
39-th query  distance:=35401.9
40-th query  distance:=18418.2
41-th query  distance:=13921.7
42-th query  distance:=33989.1
43-th query  distance:=28676.5
44-th query  distance:=33352.9
45-th query  distance:=17657.6
46-th query  distance:=31941.4
47-th query  distance:=36562.6
48-th query  distance:=32767.1
49-th query  distance:=46442.4
50-th query  distance:=3116.53
51-th query  distance:=16669.3
52-th query  distance:=68245.5
53-th query  distance:=12387.3
54-th query  distance:=16802.6
55-th query  distance:=22229.7
56-th query  distance:=43446.6
57-th query  distance:=30370
58-th query  distance:=65767.1
59-th query  distance:=51462.6
60-th query  distance:=36555.9
61-th query  distance:=55244.8
62-th query  distance:=19946.7
63-th query  distance:=22053.4
64-th query  distance:=31098.5
65-th query  distance:=77057.1
66-th query  distance:=32237.8
67-th query  distance:=17315.4
68-th query  distance:=37158.9
69-th query  distance:=35283.5
70-th query  distance:=67386.5
71-th query  distance:=58751.4
72-th query  distance:=15042.6
73-th query  distance:=36801.3
74-th query  distance:=22853
75-th query  distance:=44551.1
76-th query  distance:=50580.9
77-th query  distance:=18223.2
78-th query  distance:=20859
79-th query  distance:=15260.6
80-th query  distance:=32851
81-th query  distance:=69181
82-th query  distance:=41117
83-th query  distance:=61315.1
84-th query  distance:=44225.5
85-th query  distance:=38193.7
86-th query  distance:=11615.6
87-th query  distance:=57123.5
88-th query  distance:=57505.5
89-th query  distance:=52826.5
90-th query  distance:=31461.1
91-th query  distance:=7549.27
92-th query  distance:=42362.8
93-th query  distance:=65134
94-th query  distance:=22876.3
95-th query  distance:=31980.3
96-th query  distance:=21176.3
97-th query  distance:=22184.2
98-th query  distance:=45786.1
99-th query  distance:=35705
100-th query  distance:=57335
101-th query  distance:=4319.48
102-th query  distance:=54029.2
103-th query  distance:=61255.5
104-th query  distance:=65027.5
105-th query  distance:=37962.4
106-th query  distance:=24211.9
107-th query  distance:=48228.5
108-th query  distance:=32324.6
109-th query  distance:=60699.5
110-th query  distance:=28005.8
111-th query  distance:=1528.35
112-th query  distance:=47451.2
113-th query  distance:=25344
114-th query  distance:=26675.4
115-th query  distance:=30554.7
116-th query  distance:=21219.3
117-th query  distance:=61866.1
118-th query  distance:=56442.2
119-th query  distance:=72022.7
120-th query  distance:=60714.4
121-th query  distance:=49117.4
122-th query  distance:=12343.1
123-th query  distance:=62268.5
124-th query  distance:=10370.6
125-th query  distance:=51952.9
126-th query  distance:=57067
127-th query  distance:=58217.7
128-th query  distance:=31490.7
129-th query  distance:=74363.3
130-th query  distance:=10804.2
131-th query  distance:=23733.6
132-th query  distance:=60069.1
133-th query  distance:=17849.6
134-th query  distance:=47338.9
135-th query  distance:=71143.3
136-th query  distance:=31171.9
137-th query  distance:=64905.6
138-th query  distance:=76600.4
139-th query  distance:=36100.8
140-th query  distance:=3029.45
141-th query  distance:=44779.7
142-th query  distance:=19876.5
143-th query  distance:=46368.2
144-th query  distance:=38863.6
145-th query  distance:=36700
146-th query  distance:=52560.2
147-th query  distance:=60230.7
148-th query  distance:=36466
149-th query  distance:=9940.12
150-th query  distance:=38394.7
151-th query  distance:=42138.1
152-th query  distance:=48167.6
153-th query  distance:=53885.6
154-th query  distance:=18516.6
155-th query  distance:=28147.6
156-th query  distance:=68056.8
157-th query  distance:=29430.5
158-th query  distance:=45465
159-th query  distance:=34496.2
160-th query  distance:=46109.4
161-th query  distance:=55339.4
162-th query  distance:=47442
163-th query  distance:=7996.74
164-th query  distance:=54424.2
165-th query  distance:=58762
166-th query  distance:=50952.1
167-th query  distance:=55464.9
168-th query  distance:=44595.8
169-th query  distance:=12544.7
170-th query  distance:=37847.2
171-th query  distance:=29076.7
172-th query  distance:=26202.3
173-th query  distance:=54531.4
174-th query  distance:=14990.1
175-th query  distance:=23485.6
176-th query  distance:=38291.1
177-th query  distance:=50022.1
178-th query  distance:=70912
179-th query  distance:=31531.5
180-th query  distance:=33544
181-th query  distance:=48690.1
182-th query  distance:=65406
183-th query  distance:=15447.3
184-th query  distance:=39307.6
185-th query  distance:=48485.1
186-th query  distance:=46227.3
187-th query  distance:=51174.6
188-th query  distance:=45458.2
189-th query  distance:=21747.8
190-th query  distance:=44957.9
191-th query  distance:=52494.8
192-th query  distance:=49455.7
193-th query  distance:=28216.4
194-th query  distance:=50580.3
195-th query  distance:=59162.3
196-th query  distance:=65212.6
197-th query  distance:=51382.4
198-th query  distance:=54037.7
199-th query  distance:=52115.5
200-th query  distance:=49595.5
201-th query  distance:=43402.3
202-th query  distance:=52051.3
203-th query  distance:=48757.1
204-th query  distance:=41296.3
205-th query  distance:=43523.7
206-th query  distance:=53598.1
207-th query  distance:=45125.4
208-th query  distance:=45221.7
209-th query  distance:=7634.34
210-th query  distance:=63215.2
211-th query  distance:=48091.5
212-th query  distance:=56463.1
213-th query  distance:=45335.3
214-th query  distance:=46622.5
215-th query  distance:=30446.3
216-th query  distance:=26719
217-th query  distance:=17909.7
218-th query  distance:=28910.8
219-th query  distance:=53518.8
220-th query  distance:=37730.8
221-th query  distance:=70507
222-th query  distance:=62371.4
223-th query  distance:=50441
224-th query  distance:=32684.2
225-th query  distance:=52591.3
226-th query  distance:=43667.1
227-th query  distance:=47606.3
228-th query  distance:=69094.9
229-th query  distance:=44155
230-th query  distance:=45321.4
231-th query  distance:=16581.3
232-th query  distance:=58424.1
233-th query  distance:=46623.8
234-th query  distance:=37498
235-th query  distance:=46470.4
236-th query  distance:=41321.5
