head := query_30Centriod
0-th query  distance:=63927.7
1-th query  distance:=34607.1
2-th query  distance:=38395.9
3-th query  distance:=3427.75
4-th query  distance:=64714.4
5-th query  distance:=15042.7
6-th query  distance:=11887.3
7-th query  distance:=58338.5
8-th query  distance:=21882.7
9-th query  distance:=40828.9
10-th query  distance:=67916
11-th query  distance:=34560.3
12-th query  distance:=73160.5
13-th query  distance:=45765
14-th query  distance:=28249.1
15-th query  distance:=70357
16-th query  distance:=39034
17-th query  distance:=38755.4
18-th query  distance:=12724.6
19-th query  distance:=42458.1
20-th query  distance:=67117.4
21-th query  distance:=49894.9
22-th query  distance:=39822.5
23-th query  distance:=78795.4
24-th query  distance:=48233.3
25-th query  distance:=38535.4
26-th query  distance:=43324.9
27-th query  distance:=41147.8
28-th query  distance:=51523.5
29-th query  distance:=57609.4
30-th query  distance:=47267.4
31-th query  distance:=47882.8
32-th query  distance:=48953.1
33-th query  distance:=52090.2
34-th query  distance:=46308.4
35-th query  distance:=64298.6
36-th query  distance:=56185.8
37-th query  distance:=40184.9
38-th query  distance:=37990
39-th query  distance:=40543.7
40-th query  distance:=19633.6
41-th query  distance:=15089.4
42-th query  distance:=39357.2
43-th query  distance:=31194.1
44-th query  distance:=37287.8
45-th query  distance:=19840.2
46-th query  distance:=35226.7
47-th query  distance:=39220.1
48-th query  distance:=36694.9
49-th query  distance:=55019.2
50-th query  distance:=3381.12
51-th query  distance:=19346.5
52-th query  distance:=72061.4
53-th query  distance:=14677.1
54-th query  distance:=18470.3
55-th query  distance:=26795.7
56-th query  distance:=46747
57-th query  distance:=34445.6
58-th query  distance:=71429.3
59-th query  distance:=55552.1
60-th query  distance:=40822.9
61-th query  distance:=59033.8
62-th query  distance:=21709
63-th query  distance:=25555.6
64-th query  distance:=33253.8
65-th query  distance:=79420.7
66-th query  distance:=36840.2
67-th query  distance:=19773.8
68-th query  distance:=41440.1
69-th query  distance:=40595
70-th query  distance:=71745.1
71-th query  distance:=63031.1
72-th query  distance:=16415.9
73-th query  distance:=40461.1
74-th query  distance:=25681.5
75-th query  distance:=50948.1
76-th query  distance:=52822.2
77-th query  distance:=21054
78-th query  distance:=23430
79-th query  distance:=16770.8
