query_50Centriod  gt_9NN
65185.4  60950 
36695  28912 
40213.7  35947 
3815.9  2255 
66205.1  63412 
15648.7  12109 
12601.6  8188 
60176.6  53019 
23003.4  19411 
42816.7  31594 
70867.2  60945 
36540.5  30915 
76219.5  54900 
48596.2  45292 
28979.2  23266 
71997  66567 
40683.6  32503 
41126.1  33204 
14131.9  8897 
45072.4  36688 
68316.9  50900 
51727.2  43172 
42013.1  36444 
80456.2  68965 
51047  42743 
40536.3  35240 
45688.4  36833 
43275.8  33694 
53608.4  46552 
60396.7  44433 
49095.1  45379 
49980.8  38069 
50782.3  41258 
54705.2  49362 
47412.8  40934 
66045  60891 
57377.9  49592 
42379.9  31627 
40123.5  28954 
42615.5  33714 
20252.7  16990 
16259.5  13319 
42348.2  27207 
32383.2  28091 
39067.7  29911 
20728.2  14203 
38413.8  27063 
41434.2  34269 
38499.8  28385 
61821.5  50963 
3581.35  2643 
20175.8  16983 
74286.2  61894 
15657.6  11514 
20020.9  16177 
28374.2  21210 
48261.5  35986 
36434.5  25235 
73356.5  58395 
58784.2  58834 
42633  38749 
61319.3  49798 
22699.7  16368 
26725  20736 
34900.5  29372 
81629.1  70787 
38646.1  33055 
20693.7  15623 
43096.6  41360 
42848.5  37025 
73287.1  67016 
65337.3  57035 
17551  13299 
42062.2  33992 
27342.7  20865 
53811.4  39891 
54546.1  54756 
22594.3  17904 
24266.3  19236 
17919.1  13940 
39418.4  32729 
74999.2  61228 
47423.4  41228 
66067.8  56278 
52545.5  44051 
44980.6  42500 
12864.6  10618 
61788  59504 
63086  44287 
60040.5  50887 
35631.5  26743 
9014.14  6365 
49185.7  43608 
70870.6  55862 
26775.1  26283 
35945.4  27224 
25163.7  20604 
26051.6  20046 
56118.9  50208 
